,LBAHH,GBAHA,WHD,LBAH,GBAH,IWH,IWA,WHA,SBD,B365<2.5,SOA,B365A,GBD,GBA,B365H,SBA,LBAHA,B365D,LBH,GBAHH,GB<2.5,LBD,GBH,LBA,SOD,WHH,B365>2.5,B365AH,B365AHH,IWD,SOH,GB>2.5,B365AHA,SBH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
53,1.85,1.9,3.4,-1.0,-1.0,1.55,4.8,6.0,3.4,2.0,5.5,6.5,3.5,6.5,1.5,6.0,2.0,3.6,1.5,1.92,2.0,3.4,1.53,6.0,3.5,1.5,1.8,-1.0,1.9,3.5,1.53,1.71,2.0,1.53,Newcastle_Bolton_2003,5,6,2003-09-20,2003,9,23
54,2.0,1.8,3.2,-0.25,-0.25,2.3,2.7,2.62,3.2,1.85,2.75,2.87,3.25,2.87,2.25,2.8,1.85,3.25,2.1,2.0,2.0,3.2,2.3,3.0,3.25,2.3,1.95,-0.25,2.05,3.0,2.25,1.71,1.85,2.25,Portsmouth_Blackburn_2003,6,6,2003-09-20,2003,28,33
55,1.85,1.95,3.2,-0.25,-0.25,1.9,3.5,3.2,3.25,1.8,3.25,3.4,3.25,3.25,2.0,3.25,2.0,3.25,2.2,1.85,1.85,3.2,2.1,2.8,3.25,2.0,2.0,-0.25,1.825,3.1,2.0,1.85,2.075,2.0,Tottenham_Southampton_2003,6,6,2003-09-20,2003,6,12
56,1.85,1.92,2.87,-0.25,-0.25,2.1,3.1,3.1,3.1,2.0,3.5,3.4,3.25,3.2,2.0,3.0,2.0,3.25,2.1,1.9,1.95,3.2,2.15,3.0,3.4,2.2,1.8,-0.25,1.875,3.0,2.0,1.75,2.025,2.2,Man United_Arsenal_2003,6,6,2003-09-21,2003,13,31
57,2.05,1.78,3.2,-0.25,-0.25,2.3,2.7,2.62,3.2,1.85,2.8,2.8,3.25,2.82,2.3,2.7,1.8,3.25,2.2,2.08,1.85,3.2,2.33,2.8,3.25,2.3,1.95,-0.25,2.025,3.0,2.4,1.85,1.875,2.3,Middlesbrough_Everton_2003,6,6,2003-09-21,2003,25,8
58,2.05,1.9,3.4,-1.0,-1.0,1.5,5.0,6.0,3.5,2.05,7.0,5.5,3.7,5.7,1.53,6.0,1.8,3.5,1.444,1.9,1.9,3.75,1.55,6.0,3.75,1.5,1.75,-1.0,2.05,3.7,1.5,1.79,1.85,1.5,Arsenal_Newcastle_2003,7,6,2003-09-26,2003,31,9
59,2.05,1.8,3.2,-0.5,-0.5,1.9,3.5,3.2,3.25,1.8,3.5,3.75,3.25,3.5,1.9,3.5,1.8,3.25,1.8330000000000002,2.0,1.79,3.2,2.0,3.75,3.25,2.0,2.0,-0.5,2.0,3.1,1.91,1.9,1.9,1.9,Birmingham_Portsmouth_2003,6,7,2003-09-27,2003,19,28
60,1.8,2.0,3.2,-0.75,-0.75,1.65,4.4,4.33,3.4,1.9,5.0,5.0,3.45,5.0,1.61,5.0,2.05,3.6,1.6669999999999998,1.8,1.85,3.4,1.67,4.333,3.4,1.72,1.9,-0.75,1.85,3.3,1.62,1.85,2.05,1.61,Bolton_Wolves_2003,7,7,2003-09-27,2003,23,4
61,2.0,1.8,4.2,-1.5,-1.5,1.35,7.0,8.5,4.0,2.1,8.5,8.5,4.3,8.5,1.33,7.5,1.85,4.33,1.3330000000000002,2.0,2.0,4.0,1.35,8.0,4.33,1.3,1.7,-1.5,2.05,4.0,1.3,1.71,1.85,1.36,Chelsea_Aston Villa_2003,6,7,2003-09-27,2003,30,21
62,2.0,1.85,3.5,1.0,1.0,4.8,1.55,1.44,3.6,2.0,1.44,1.5,3.7,1.5,6.5,1.5,1.85,3.6,6.5,1.95,2.0,3.6,6.5,1.444,3.75,7.0,1.8,1.0,1.975,3.5,6.5,1.71,1.925,6.0,Leicester_Man United_2003,7,7,2003-09-27,2003,27,13
63,1.8,2.0,3.4,-0.5,-0.5,1.8,3.8,4.33,3.25,1.75,4.5,4.33,3.25,4.4,1.8,4.0,2.05,3.2,1.7269999999999999,1.8,1.79,3.2,1.8,4.333,3.4,1.66,2.05,-0.5,1.85,3.1,1.67,1.9,2.05,1.8,Southampton_Middlesbrough_2003,7,7,2003-09-27,2003,12,25
64,2.0,1.95,3.3,-0.75,-0.5,1.8,3.8,3.75,3.3,1.95,4.33,4.0,3.33,4.0,1.83,4.33,1.85,3.25,1.7269999999999999,1.85,1.79,3.4,1.85,4.0,3.25,1.8,1.85,-0.5,1.8,3.1,1.73,1.9,2.1,1.72,Everton_Leeds_2003,7,7,2003-09-28,2003,8,2
65,2.05,1.85,3.4,-0.75,-0.75,1.85,3.6,4.0,3.25,2.05,4.75,4.5,3.4,4.4,1.72,4.2,1.8,3.4,1.6669999999999998,1.95,1.95,3.4,1.75,4.333,3.5,1.72,1.75,-0.75,2.05,3.1,1.73,1.75,1.85,1.75,Man City_Tottenham_2003,7,7,2003-09-28,2003,3,6
66,2.0,1.8,3.3,-0.75,-0.75,1.8,3.8,4.5,3.25,1.95,4.33,4.0,3.35,4.5,1.8,4.33,1.85,3.4,1.6669999999999998,2.0,1.9,3.4,1.75,4.333,3.25,1.66,1.85,-0.75,2.05,3.1,1.73,1.79,1.85,1.72,Blackburn_Fulham_2003,7,6,2003-09-28,2003,33,16
67,2.0,1.85,3.25,0.5,0.5,3.6,1.85,1.72,3.25,1.9,1.8,1.8,3.25,1.85,4.33,1.8,1.85,3.2,3.75,1.95,1.79,3.25,4.15,1.8,3.4,4.2,1.9,0.5,2.0,3.1,4.33,1.9,1.9,4.0,Charlton_Liverpool_2003,7,7,2003-09-28,2003,29,10
68,1.9,2.0,3.3,0.5,0.5,3.2,2.0,1.83,3.25,2.0,1.91,2.0,3.25,2.0,3.25,2.0,1.95,3.5,3.75,1.8,1.95,3.25,3.5,1.8,3.25,3.6,1.8,0.5,1.85,3.1,3.5,1.75,2.05,3.25,Wolves_Man City_2003,8,8,2003-10-04,2003,4,3
69,2.0,1.8,3.2,-0.25,-0.25,2.0,3.2,3.0,3.2,1.9,2.88,2.87,3.33,2.85,2.25,2.87,1.85,3.25,2.1,2.0,1.85,3.2,2.27,3.0,3.2,2.1,1.9,-0.25,2.05,3.1,2.2,1.85,1.85,2.2,Tottenham_Everton_2003,8,8,2003-10-04,2003,6,8
70,1.9,1.95,3.2,-0.25,-0.25,1.9,3.5,3.2,3.25,1.85,3.25,3.2,3.25,3.4,2.1,3.25,1.95,3.25,2.2,1.85,1.85,3.2,2.05,2.8,3.25,2.0,1.95,-0.25,1.875,3.1,2.0,1.85,2.025,2.0,Portsmouth_Charlton_2003,8,8,2003-10-04,2003,28,29
