,SBD,B365D,SBH,LBA,BWD,GBAH,BWH,WHD,LBAHA,B365AHA,GBH,GBD,B365AH,WHA,GBA,IWH,B365H,WHH,LBH,IWA,LBD,GB>2.5,IWD,LBAHH,GB<2.5,B365A,B365AHH,SBA,B365<2.5,GBAHH,GBAHA,LBAH,BWA,B365>2.5,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
65,3.2,3.2,3.5,1.83,3.2,0.25,3.2,3.1,1.74,1.85,3.3,3.2,0.25,2.1,2.15,3.2,3.5,3.1,3.75,2.0,3.2,1.95,3.1,2.1,1.75,2.1,2.05,2.0,1.7,2.05,1.8,0.25,2.1,2.1,Middlesbrough_Chelsea_2004,7,7,2004-09-25,2004,23,11
66,3.2,3.25,3.25,2.1,3.2,0.25,3.2,3.0,1.74,2.125,3.3,3.2,0.5,2.1,2.15,3.2,3.4,3.2,3.0,2.0,3.2,1.9,3.1,2.1,1.79,2.1,1.775,2.1,1.85,2.0,1.85,0.25,2.1,1.95,Tottenham_Man United_2004,7,7,2004-09-25,2004,34,22
67,3.25,3.2,2.2,2.75,3.1,-0.25,2.25,3.2,1.86,1.925,2.25,3.2,-0.25,3.0,3.1,2.3,2.25,2.1,2.25,2.7,3.2,1.9,3.0,1.98,1.79,3.1,1.975,3.0,1.85,1.95,1.9,-0.25,3.0,1.95,Portsmouth_Everton_2004,6,7,2004-09-26,2004,26,14
68,3.2,3.25,2.0,3.5,3.25,-0.25,1.9,3.1,1.74,2.05,2.1,3.2,-0.25,3.5,3.45,2.0,2.1,1.95,1.91,3.2,3.2,1.85,3.1,2.1,1.85,3.4,1.85,3.5,1.8,1.85,2.0,-0.5,3.75,2.0,Charlton_Blackburn_2004,7,7,2004-09-27,2004,10,3
69,5.0,5.0,1.25,11.0,5.5,-1.25,1.2,5.0,1.86,1.9,1.27,5.25,-1.5,9.5,10.0,1.33,1.28,1.22,1.2,7.5,5.0,1.6,4.0,1.98,2.15,10.0,2.0,10.0,2.1,1.7,2.05,-1.5,11.5,1.7,Arsenal_Charlton_2004,8,8,2004-10-02,2004,0,10
70,3.2,3.25,2.4,2.6,3.1,-0.25,2.45,3.0,2.04,2.1,2.4,3.15,0.0,2.7,2.9,2.3,2.37,2.37,2.38,2.7,3.2,2.0,3.0,1.8,1.71,2.87,1.8,2.7,1.7,2.05,1.7,0.0,2.7,2.1,Blackburn_Aston Villa_2004,8,8,2004-10-02,2004,3,1
71,3.2,3.2,2.2,3.0,3.15,0.0,2.5,3.1,1.76,1.85,2.3,3.2,-0.25,2.8,3.0,2.2,2.25,2.25,2.1,2.9,3.2,2.0,3.0,2.08,1.71,3.1,2.05,3.0,1.66,1.7,2.05,-0.25,2.6,2.15,Everton_Tottenham_2004,8,8,2004-10-02,2004,14,34
72,3.2,3.25,2.3,2.75,3.1,0.0,2.25,3.0,1.84,1.875,2.4,3.15,-0.25,2.7,2.9,2.2,2.37,2.37,2.38,2.9,3.0,2.0,3.0,2.0,1.71,2.87,2.025,2.88,1.75,1.7,2.05,-0.25,3.0,2.05,Norwich_Portsmouth_2004,8,7,2004-10-02,2004,25,26
73,3.2,3.25,2.3,2.75,3.1,-0.25,2.25,3.1,1.76,2.05,2.35,3.15,0.0,2.62,2.95,2.2,2.37,2.37,2.25,2.9,3.2,1.95,3.0,2.08,1.75,2.87,1.85,2.88,1.75,2.05,1.7,-0.25,3.0,2.05,Southampton_Man City_2004,8,8,2004-10-02,2004,30,21
74,3.2,3.2,2.6,2.25,3.1,-0.25,2.7,2.9,1.78,1.825,2.7,3.15,0.0,2.5,2.55,2.5,2.75,2.62,2.75,2.5,3.2,2.0,3.0,2.06,1.71,2.5,2.075,2.5,1.8,2.2,1.6,0.0,2.45,2.0,West Brom_Bolton_2004,8,8,2004-10-02,2004,36,5
