,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
143,West Brom_Tottenham_2015,2015-12-05,J Moss,7,6,15,15,2015,1,1,18.518,17.147,62.224,16.246,19.413,63.587,,,,12.466,17.084,69.239,22.887,2.265,29.074,1.643,53.247,0.966,,,,,-4.369,-11.927,8.977,-6.641,-9.661,10.34,,,,-10.421,-11.99,15.992
144,Swansea_Leicester_2015,2015-12-05,M Oliver,0,27,15,15,2015,0,3,1.919,4.98,81.459,10.894,15.71,71.776,,,,17.495,19.967,61.864,37.314,1.355,30.098,1.229,37.502,1.47,,,,,-35.395,-25.118,43.957,-26.42,-14.388,34.274,,,,-19.819,-10.131,24.362
145,Arsenal_Sunderland_2015,2015-12-05,R Madley,31,38,15,15,2015,3,1,83.296,9.583,3.733,75.727,17.141,6.559,,,,78.458,14.205,6.085,78.859,1.69,17.53,1.391,8.186,0.704,,,,,4.437,-7.947,-4.453,-3.132,-0.389,-1.627,,,,-0.401,-3.325,-2.101
146,Chelsea_Bournemouth_2015,2015-12-05,M Jones,30,17,15,15,2015,0,1,74.809,14.791,8.764,57.082,18.459,22.809,,,,61.096,17.641,19.41,73.303,0.607,20.189,1.23,11.238,1.177,,,,,1.506,-5.398,-2.474,-16.221,-1.73,11.571,,,,-12.207,-2.548,8.172
147,Stoke_Man City_2015,2015-12-05,M Atkinson,22,3,15,15,2015,2,0,49.101,40.498,10.398,12.791,33.815,53.381,,,,13.638,34.033,52.316,19.589,1.216,26.452,1.751,58.828,0.533,,,,,29.512,14.046,-48.43,-6.798,7.363,-5.447,,,,-5.951,7.581,-6.512
148,Newcastle_Liverpool_2015,2015-12-06,A Marriner,9,10,15,15,2015,2,0,8.126,12.843,76.081,18.827,21.528,59.225,,,,18.75,22.134,58.776,17.911,0.806,24.798,1.617,62.119,0.752,,,,,-9.785,-11.955,13.962,0.916,-3.27,-2.894,,,,0.839,-2.664,-3.343
149,Everton_Crystal Palace_2015,2015-12-07,C Pawson,8,24,15,15,2015,1,1,41.021,25.674,33.197,31.941,24.495,43.392,,,,31.755,24.132,43.915,48.937,1.083,29.061,1.312,27.199,1.221,,,,,-7.916,-3.387,5.998,-16.996,-4.566,16.193,,,,-17.182,-4.929,16.716
150,Bournemouth_Man United_2015,2015-12-12,A Taylor,17,13,16,16,2015,2,1,6.618,14.768,77.459,16.688,19.326,63.183,,,,17.408,22.268,60.016,30.432,1.664,30.204,0.812,43.505,0.072,,,,,-23.814,-15.436,33.954,-13.744,-10.878,19.678,,,,-13.024,-7.936,16.511
151,Man City_Swansea_2015,2015-12-12,R Madley,3,0,16,16,2015,2,1,39.617,28.3,32.043,73.036,14.788,10.147,,,,75.849,13.232,8.289,76.509,0.727,18.335,1.685,9.595,0.829,,,,,-36.892,9.965,22.448,-3.473,-3.547,0.552,,,,-0.66,-5.103,-1.306
152,West Ham_Stoke_2015,2015-12-12,A Marriner,5,22,16,16,2015,0,0,34.441,51.16,14.399,37.824,37.381,24.792,,,,37.451,31.105,31.428,38.63,0.96,31.169,1.042,35.068,1.458,,,,,-4.189,19.991,-20.669,-0.806,6.212,-10.276,,,,-1.179,-0.064,-3.64
